account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag
A00000,Company_0,Education,Indonesia,2026-09-20 07:33:32,ads,Free,48,True,False
A00001,Company_1,Professional Services,Brunei,2024-08-04 18:21:03,event,Pro,44,False,False
A00002,Company_2,Healthcare & Life Sciences,Indonesia,2025-10-17 10:23:08,event,Free,6,True,False
A00003,Company_3,Professional Services,Myanmar,2026-07-24 04:53:06,ads,Free,13,True,True
A00004,Company_4,E-commerce & Retail,Myanmar,2025-11-28 19:43:37,partner,Basic,1,False,True
A00005,Company_5,Energy & Resources,Brunei,2025-03-07 15:47:40,organic,Free,49,True,True
A00006,Company_6,Education,Singapore,2025-08-13 04:42:59,other,Free,23,True,True
A00007,Company_7,Education,Malaysia,2025-12-14 16:36:03,event,Basic,25,True,False
A00008,Company_8,Education,Brunei,2024-10-25 17:02:17,ads,Pro,3,False,False
A00009,Company_9,Energy & Resources,Cambodia,2024-06-05 21:36:22,partner,Basic,30,False,False
A00010,Company_10,Finance,Cambodia,2025-07-05 21:27:06,event,Free,18,True,False
A00011,Company_11,Education,Indonesia,2025-01-15 07:12:46,other,Free,25,True,True
A00012,Company_12,Technology,Malaysia,2025-05-18 18:08:11,outbound,Pro,50,True,True
A00013,Company_13,Energy & Resources,Indonesia,2025-02-19 22:06:12,other,Free,37,True,False
A00014,Company_14,Education,Cambodia,2026-02-14 12:41:25,ads,Basic,42,False,False
A00015,Company_15,Industrial & Logistics,Malaysia,2026-05-22 01:19:15,ads,Basic,48,False,False
A00016,Company_16,Finance,Cambodia,2024-08-02 21:22:52,other,Basic,6,False,False
A00017,Company_17,Industrial & Logistics,Myanmar,2024-09-05 12:33:40,event,Pro,28,False,False
A00018,Company_18,Technology,Brunei,2025-12-28 02:09:52,other,Basic,36,False,False
A00019,Company_19,Finance,Laos,2026-04-14 03:42:17,outbound,Pro,50,False,False
A00020,Company_20,Education,Cambodia,2024-09-02 16:32:54,event,Basic,47,False,False
A00021,Company_21,Professional Services,Indonesia,2024-06-14 07:16:58,ads,Enterprise,202,False,False
A00022,Company_22,Professional Services,Singapore,2025-08-03 20:31:07,event,Pro,35,False,True
A00023,Company_23,Education,Indonesia,2025-05-18 13:24:49,organic,Basic,8,False,True
A00024,Company_24,Consumer & Lifestyle,Brunei,2025-01-09 04:20:37,event,Enterprise,90,True,False
A00025,Company_25,Professional Services,Cambodia,2024-07-14 08:41:30,partner,Free,31,True,False
A00026,Company_26,Professional Services,Indonesia,2026-03-30 17:06:16,other,Enterprise,266,False,False
A00027,Company_27,Consumer & Lifestyle,Philippines,2025-04-29 05:37:32,organic,Basic,43,False,True
A00028,Company_28,Technology,Indonesia,2025-01-20 02:35:28,event,Free,22,True,False
A00029,Company_29,Technology,Indonesia,2024-12-08 02:17:57,organic,Free,46,True,True
A00030,Company_30,Education,Philippines,2024-02-18 19:09:35,ads,Enterprise,86,False,True
A00031,Company_31,Consumer & Lifestyle,Indonesia,2026-04-17 16:05:53,outbound,Free,37,True,True
A00032,Company_32,Industrial & Logistics,Malaysia,2025-09-24 08:17:43,outbound,Free,7,True,True
A00033,Company_33,Finance,Singapore,2025-09-30 15:00:13,outbound,Basic,47,True,False
A00034,Company_34,Healthcare & Life Sciences,Philippines,2025-06-11 02:07:04,ads,Pro,7,True,False
A00035,Company_35,Healthcare & Life Sciences,Brunei,2025-10-17 08:53:15,outbound,Free,30,True,False
A00036,Company_36,Professional Services,Singapore,2026-05-04 21:36:53,organic,Free,42,True,False
A00037,Company_37,Consumer & Lifestyle,Indonesia,2025-01-02 04:51:58,outbound,Free,32,True,False
A00038,Company_38,Industrial & Logistics,Laos,2024-04-01 02:05:10,outbound,Free,1,True,True
A00039,Company_39,Professional Services,Philippines,2025-03-19 02:51:43,ads,Basic,47,False,True
A00040,Company_40,Professional Services,Singapore,2024-10-21 23:54:20,other,Free,4,True,True
