churn_event_id,account_id,churn_date,reason_code,refund_amount_usd,preceding_upgrade_flag,preceding_downgrade_flag,is_reactivation,feedback_text
C000013,A00003,2026-12-31 00:00:00,missing_features,0.0,True,False,False,Buggy
C000015,A00004,2026-03-20 19:43:37,missing_features,0.0,False,False,False,Not useful
C000017,A00005,2025-08-05 15:47:40,bugs,0.0,True,False,False,Not useful
C000018,A00006,2025-12-23 04:42:59,missing_features,0.0,False,False,False,
C000042,A00011,2026-02-14 07:12:46,bugs,0.0,False,False,False,Not useful
C000043,A00012,2025-09-28 18:08:11,no_longer_needed,0.0,False,False,False,Not useful
C000103,A00022,2026-11-01 20:31:07,no_longer_needed,0.0,False,True,False,
C000104,A00023,2025-10-05 13:24:49,missing_features,0.0,False,False,True,Too expensive
C000130,A00027,2026-07-20 05:37:32,price_too_high,0.0,False,True,False,Too expensive
C000139,A00029,2025-07-07 02:17:57,missing_features,0.0,False,False,False,Too expensive
C000148,A00030,2026-09-21 19:09:35,bugs,0.0,False,True,False,
C000151,A00031,2026-12-31 00:00:00,bugs,0.0,True,False,False,Buggy
C000152,A00032,2026-02-06 08:17:43,competitor,0.0,False,False,False,Not useful
C000180,A00038,2025-04-08 02:05:10,bugs,0.0,False,False,False,Too expensive
C000183,A00039,2025-12-26 02:51:43,bugs,0.0,False,False,True,Buggy
C000192,A00040,2026-11-29 23:54:20,missing_features,0.0,False,False,False,Not useful
C000222,A00046,2026-01-27 03:56:24,price_too_high,0.0,False,False,False,Not useful
C000225,A00047,2025-07-12 02:58:07,missing_features,0.0,True,False,False,Buggy
C000235,A00050,2024-10-22 07:29:33,bugs,0.0,False,False,False,Buggy
C000250,A00052,2026-03-24 21:55:12,missing_features,0.0,False,False,True,Buggy
C000255,A00053,2026-02-06 03:53:20,no_longer_needed,0.0,True,False,False,Not useful
C000266,A00056,2026-10-14 20:05:42,competitor,0.0,True,False,False,Not useful
C000272,A00058,2025-11-18 11:26:59,missing_features,0.0,False,False,False,
C000280,A00060,2026-11-05 04:35:45,missing_features,0.0,False,False,False,Not useful
C000281,A00061,2025-04-18 07:11:32,no_longer_needed,0.0,False,False,False,Not useful
C000312,A00067,2025-01-16 16:48:45,bugs,0.0,True,False,False,Buggy
C000314,A00068,2025-12-19 10:58:04,competitor,0.0,True,False,True,Buggy
C000316,A00068,2026-08-21 10:58:04,missing_features,0.0,False,False,False,Not useful
C000324,A00070,2026-11-14 04:34:47,no_longer_needed,0.0,True,False,False,Too expensive
C000326,A00071,2026-02-22 06:58:35,price_too_high,0.0,True,False,False,Not useful
C000331,A00073,2024-12-29 08:06:07,bugs,0.0,False,False,True,Not useful
C000342,A00074,2026-05-19 03:13:59,price_too_high,0.0,False,False,False,Too expensive
C000346,A00075,2026-03-29 00:23:57,no_longer_needed,0.0,False,False,False,
C000362,A00079,2026-10-03 16:51:51,missing_features,0.0,False,False,False,Too expensive
C000368,A00081,2025-10-15 15:43:56,competitor,0.0,True,False,False,
C000396,A00089,2026-06-07 17:34:20,missing_features,0.0,False,False,True,
C000415,A00092,2026-11-14 21:21:51,missing_features,0.0,False,True,False,
C000421,A00093,2026-08-26 07:36:29,no_longer_needed,0.0,False,True,False,
C000436,A00095,2025-10-10 16:44:51,bugs,0.0,True,False,False,
C000450,A00099,2025-12-22 11:49:02,missing_features,0.0,True,False,True,Too expensive
C000452,A00099,2026-11-16 11:49:02,missing_features,0.0,False,True,False,Too expensive
C000453,A00100,2026-03-10 11:05:23,missing_features,0.0,False,False,False,
C000454,A00101,2026-07-15 12:02:39,no_longer_needed,0.0,False,False,True,
C000468,A00104,2026-12-01 07:07:00,competitor,0.0,False,True,False,Too expensive
C000485,A00108,2025-07-30 07:55:32,missing_features,0.0,False,True,False,Too expensive
C000486,A00109,2025-07-14 01:53:51,price_too_high,0.0,False,False,True,
C000494,A00112,2024-12-04 17:19:25,bugs,0.0,False,True,False,
C000505,A00114,2026-10-09 13:13:40,competitor,0.0,True,False,False,
C000506,A00115,2026-08-13 17:59:58,bugs,0.0,False,False,False,Not useful
C000507,A00116,2025-01-07 04:02:26,missing_features,0.0,False,False,False,Not useful
C000553,A00127,2024-10-29 15:28:02,bugs,0.0,False,True,False,Buggy
C000555,A00128,2026-08-12 02:19:36,no_longer_needed,0.0,True,False,False,
C000563,A00129,2026-08-21 23:05:22,missing_features,0.0,True,False,False,Buggy
C000564,A00130,2025-04-27 14:55:14,bugs,0.0,False,False,False,Buggy
C000566,A00131,2024-10-30 11:56:43,no_longer_needed,0.0,True,False,False,Too expensive
C000567,A00132,2026-09-08 06:40:12,no_longer_needed,0.0,False,False,False,Not useful
C000568,A00133,2025-09-04 18:38:15,bugs,0.0,False,False,False,Buggy
C000599,A00142,2025-02-04 16:38:36,competitor,0.0,False,False,True,Buggy
C000608,A00143,2026-04-02 14:10:29,competitor,0.0,False,False,True,Not useful
C000626,A00146,2026-12-29 20:43:44,missing_features,0.0,False,True,False,Buggy
C000646,A00153,2025-02-02 06:54:37,bugs,0.0,False,True,True,
C000652,A00153,2026-12-31 00:00:00,competitor,0.0,False,True,False,Not useful
C000670,A00158,2026-12-31 00:00:00,bugs,0.0,True,False,False,Not useful
C000679,A00161,2026-03-26 07:54:44,no_longer_needed,0.0,True,False,False,
C000682,A00162,2026-11-08 10:17:29,price_too_high,0.0,False,True,False,Buggy
C000693,A00165,2026-12-31 00:00:00,bugs,0.0,False,False,False,Not useful
C000705,A00167,2026-12-31 00:00:00,price_too_high,38.4,True,False,False,Too expensive
C000715,A00169,2026-11-11 04:13:11,competitor,0.0,True,False,False,Not useful
C000723,A00171,2025-10-01 14:55:30,missing_features,0.0,False,True,False,
C000746,A00176,2025-01-31 23:34:49,bugs,0.0,False,True,False,
C000763,A00179,2025-08-27 19:45:05,missing_features,0.0,False,False,False,Not useful
C000780,A00183,2025-04-04 19:23:11,competitor,0.0,False,True,False,
C000792,A00185,2024-12-07 01:09:13,price_too_high,0.0,True,False,True,Not useful
C000801,A00186,2025-02-03 16:22:09,bugs,0.0,False,False,True,Too expensive
C000813,A00187,2026-05-10 17:36:55,missing_features,0.0,False,True,True,Not useful
C000821,A00188,2026-05-08 03:58:24,competitor,0.0,True,False,False,Not useful
C000825,A00190,2025-07-21 17:06:31,missing_features,0.0,False,True,False,
C000826,A00191,2024-11-18 10:17:09,price_too_high,0.0,False,False,False,Too expensive
C000839,A00194,2026-12-04 11:11:14,no_longer_needed,0.0,True,False,False,Too expensive
C000851,A00196,2026-12-31 00:00:00,missing_features,0.0,True,False,False,Too expensive
C000852,A00197,2025-11-24 21:16:54,price_too_high,0.0,False,False,True,Buggy
C000853,A00197,2026-10-15 21:16:54,missing_features,0.0,False,False,True,Not useful
C000870,A00201,2026-01-16 17:46:32,no_longer_needed,0.0,True,False,False,Buggy
C000886,A00206,2025-06-14 16:26:21,no_longer_needed,0.0,True,False,False,Not useful
C000887,A00207,2025-12-19 08:26:56,competitor,0.0,False,False,False,Buggy
C000898,A00211,2025-06-03 22:27:27,bugs,0.0,True,False,False,Too expensive
C000906,A00214,2026-05-10 04:52:50,competitor,0.0,True,False,False,Too expensive
C000912,A00216,2026-12-31 00:00:00,bugs,0.0,False,True,False,Buggy
C000923,A00219,2026-11-23 09:56:48,no_longer_needed,0.0,True,False,False,Too expensive
C000937,A00222,2026-06-24 02:30:44,bugs,0.0,False,True,False,Too expensive
C000951,A00225,2025-04-10 06:29:51,bugs,0.0,True,False,False,
C000954,A00226,2026-11-11 00:54:21,no_longer_needed,0.0,True,False,False,Not useful
C000987,A00234,2026-12-31 00:00:00,bugs,0.0,False,False,False,Too expensive
C000998,A00237,2026-10-16 11:55:43,price_too_high,0.0,False,True,False,
C000999,A00238,2025-08-23 03:29:08,no_longer_needed,0.0,False,False,False,Too expensive
C001009,A00239,2026-12-26 22:25:34,price_too_high,0.0,True,False,False,Not useful
C001010,A00240,2026-02-05 05:55:09,competitor,0.0,False,False,True,Too expensive
C001014,A00241,2026-11-02 09:14:51,price_too_high,0.0,False,False,False,Too expensive
C001038,A00246,2026-04-18 11:19:46,price_too_high,0.0,True,False,False,Too expensive
C001052,A00248,2025-10-02 18:54:28,bugs,0.0,True,False,True,Too expensive
